method	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	BIP_eur	zanc	BIPeur	0p1	global_slope	EUR	4308	3601	691	726	-0.004712259834299	0.0492313126321685	0.923771096713955	-0.0505040055866203	0.0158083527756442	0.00141183761703	-0.0457917457523212	0.0517242189447017	-0.885305697922228	0.37599177768083
CT	BIP_eur	zanc	BIPeur	0p5	global_slope	EUR	4308	3601	691	726	0.0033306431922881	0.0500294772810533	0.946938852162448	-0.0306700613610059	0.0159613040556308	0.0547466864486459	-0.034000704553294	0.0525332458045876	-0.647222611748936	0.517487878943033
CT	BIP_eur	zanc	BIPeur	1	global_slope	EUR	4308	3601	691	726	0.0114678621884506	0.0500997453268893	0.819008416274559	-0.0289622120696891	0.0159658798500465	0.0697623296652114	-0.0404300742581397	0.0525996188285516	-0.768638160476438	0.442108145054492
CT	BIP_eur	zanc	BIPeur	1e-5	global_slope	EUR	4308	3601	691	726	-0.0222761620649318	0.0460601106987845	0.628787307079194	-0.0034195919814561	0.0154136838132678	0.824440524442735	0.0188565700834757	0.0485587335683496	0.388324997334082	0.697775540704796
CT	BIP_eur	zanc	BIPeur	5e-8	global_slope	EUR	4308	3601	691	726	-0.0233006307123596	0.0447829428358367	0.603006235845684	0.0090439773380472	0.0153707214666237	0.556308739043024	0.0323446080504069	0.0473422136057299	0.683208612080871	0.494475031501142
CT	BIP_eur	zanc	BIPeur	0p001	global_slope	full	8596	7198	1350	1449	-0.0027952497484917	0.0316942854419825	0.929733556999015	-0.01803711939167	0.0109579762104968	0.0998024601536807	-0.0152418696431782	0.0335406884303002	-0.454429242704778	0.649519908851504
CT	BIP_eur	zanc	BIPeur	0p01	global_slope	full	8596	7198	1350	1449	0.0255409900345459	0.0323544315106166	0.429989414441608	-0.0216078732908327	0.0110197786808571	0.0499381858323176	-0.0471488633253786	0.034188427155166	-1.37908840062724	0.167867499736142
CT	BIP_eur	zanc	BIPeur	0p05	global_slope	full	8596	7198	1350	1449	-0.0050223787120162	0.0333442841623794	0.880293235152479	-0.0238642479580821	0.0111293393520425	0.0320457957389868	-0.0188418692460658	0.0351712451621411	-0.535718003704558	0.592153458934295
CT	BIP_eur	zanc	BIPeur	0p1	global_slope	full	8596	7198	1350	1449	-0.0003170493261105	0.0339119040558104	0.992541702638442	-0.0259631265086334	0.0111489225119376	0.0198999852016086	-0.0256460771825228	0.0357121079028861	-0.718133951999239	0.472674697520463
CT	BIP_eur	zanc	BIPeur	0p5	global_slope	full	8596	7198	1350	1449	0.00533039055914	0.034198815927688	0.876159497361972	-0.0145188176587766	0.0112110769894937	0.195348065475047	-0.0198492082179166	0.0360074312016607	-0.551253104025958	0.581460181265568
